Source,Definition,Function,Reference_Img
15ma,Raise music 2 octaves,"note_value,arithmetic:+,value:24'",
15mb,Lower music 2 octaves,"note_value,arithmetic:-,value:24'",
8va,Raise music 1 octave,"note_value,arithmetic:+,value:12'",
8vb,Lower music 1 octave,"note_value,arithmetic:-,value:12'",
a 2 ,For two voices,none',
à 2 ,For two voices,none',
a due,For two voices,none',
a deux,For two voices,none',
a capriccio,Open to interpretation,none',
à la fin ,End of repeat from D.S. of da capo,"on_final_pass,performance:stop'",
al fine,End of repeat from D.S. of da capo,"on_final_pass,performance:stop'",
à la hausse,At the frog,"string_performance,bow_position:frog'",
a piacere,At the descrestion of the performer,"tempo_performance,value:Rubato'",
a punta d'arco,At the point,"string_performance,bow_position:point'",
a tempo,Original Tempo,"tempo_performance,value:index_0'",
a fl.,Alto flute,"instrument_id,value:flute_alto'",
a sax.,Alto saxophone,"instrument_id,value:saxophone_alto'",
acc,Increase the tempo over time,"tempo_performance,value:accelerando",
accel,Increase the tempo over time,"tempo_performance,value:accelerando",
accelº,Increase the tempo over time,"tempo_performance,value:accelerando",
accelerando,Increase the tempo over time,"tempo_performance,value:accelerando",
accélérez,Increase the tempo over time,"tempo_performance,value:accelerando",
accent,,,